,Dim1,Dim2,Dim3,Dim4,Dim5,Dim6
PT,-0.3833228546388652,0.22150282369351695,0.19686737193884707,-0.16481867748230664,0.31878190919784727,0.48292315710874373
ES,0.07914709564742956,0.7065437682561321,0.1846467679232925,0.013803391197068735,-0.07937113224498928,0.283347168535688
NO3,0.3802659701178804,0.4490313570139155,-0.101319857323466,0.11287557153769363,-0.49696257376592723,-0.014861115944135887
SE2,0.33006423832164206,0.45368699301651083,-0.14460305652811195,0.4140043038176982,-0.300852347507101,-0.013289639188062728
DK2,-0.082881727792604,-0.32323338836521176,0.23450245674667358,0.11679042043456525,0.5517790444600127,-0.04709483004948091
IT-North,-0.5059858699453194,-0.34673957907490827,0.25871498837193413,-0.30261011568606866,0.08762882055999022,0.06519816131982557
NO1,0.25352118384402805,-0.18331104627697675,0.35421481478687017,-0.34816518193611223,-0.22242793188209495,-0.10667955802635787
NO4,0.44389955166509454,0.391035323206577,-0.14994578655237265,0.08019611040827325,-0.5112223492893363,0.09069431433111946
NL,-0.2552163393847382,-0.20065789108030324,-0.26208838493781367,-0.34723863280536155,0.48885486992644056,-0.2106138265101346
CH,-0.3908875698953484,-0.3689804064202753,0.2749085925148189,-0.3254056126948094,0.33717330798849865,-0.02419740566432106
SE3,-0.018332244671457557,-0.031066016495801686,-0.19980200420670827,0.46777056552449603,-0.43952219311109125,-0.20277796883370633
DK1,0.10755294798931032,-0.2635437719123663,0.10140477893039522,0.044670234937989536,0.6272524059429336,-0.01420844102124244
NO2,0.2793395485295082,-0.20363228631087368,0.332401609710776,-0.3968328069601565,-0.0587222123761177,-0.11980804482566686
FR,-0.2893426200492768,-0.17754575286002608,-0.6788222840670529,-0.11550748921857033,-0.29521737380055135,0.27329409806172045
NO5,0.25986914561538393,-0.15343741502915578,0.39309771639689917,-0.33513483217520357,-0.18011778406472895,-0.07941950915473253
SE1,0.3293794145443711,0.4753544603810574,-0.07091965236992669,0.34297597783737155,-0.3483728661141541,-0.08635347347893609
CZ,-0.4228963562084023,-0.44220798878283185,0.046817047693621855,-0.2258273100225623,0.43348178551587246,0.006067326517298194
DE-LU,0.22778881239848148,0.07210862572623365,-0.8139134803734613,0.043312088405010114,-0.05808095850416818,0.07348867468021397
FI,-0.363070066667241,0.1703078583561505,-0.15366509899647798,0.4564708444080199,-0.12060042213393858,-0.2827971661014825
SE4,0.021107740580123095,-0.24521566704136322,0.197503460341263,0.46867115047296465,0.26651800120260255,-0.07291192175634938
