timestamp,gas_price
04/14/2015,22.1
04/15/2015,22.25
04/16/2015,22.17
04/17/2015,21.43
04/18/2015,21.55333333
04/19/2015,21.67666667
04/20/2015,21.8
04/21/2015,21.75
04/22/2015,21.45
04/23/2015,21.6
04/24/2015,21.75
04/25/2015,21.73333333
04/26/2015,21.71666667
04/27/2015,21.7
04/28/2015,21.6
04/29/2015,21.3
04/30/2015,20.75
05/01/2015,20.1
05/02/2015,20.33333333
05/03/2015,20.56666667
05/04/2015,20.8
05/05/2015,20.2
05/06/2015,20.25
05/07/2015,20.2
05/08/2015,20.33
05/09/2015,20.58666667
05/10/2015,20.84333333
05/11/2015,21.1
05/12/2015,20.9
05/13/2015,20.7
05/14/2015,20.73
05/15/2015,20.4
05/16/2015,20.5
05/17/2015,20.6
05/18/2015,20.7
05/19/2015,20.55
05/20/2015,20.53
05/21/2015,20.53
05/22/2015,20.45
05/23/2015,20.48333333
05/24/2015,20.51666667
05/25/2015,20.55
05/26/2015,20.55
05/27/2015,20.7
05/28/2015,20.65
05/29/2015,20.6
05/30/2015,20.57666667
05/31/2015,20.55333333
06/01/2015,20.53
06/02/2015,20.35
06/03/2015,20.28
06/04/2015,20.25
06/05/2015,20.3
06/06/2015,20.46666667
06/07/2015,20.63333333
06/08/2015,20.8
06/09/2015,20.65
06/10/2015,20.68
06/11/2015,20.25
06/12/2015,20.23
06/13/2015,20.25333333
06/14/2015,20.27666667
06/15/2015,20.3
06/16/2015,20.55
06/17/2015,20.33
06/18/2015,20.4
06/19/2015,20.63
06/20/2015,20.68666667
06/21/2015,20.74333333
06/22/2015,20.8
06/23/2015,21
06/24/2015,20.9
06/25/2015,20.58
06/26/2015,20.48
06/27/2015,20.44666667
06/28/2015,20.41333333
06/29/2015,20.38
06/30/2015,20.78
07/01/2015,20.7
07/02/2015,21.03
07/03/2015,20.9
07/04/2015,20.93333333
07/05/2015,20.96666667
07/06/2015,21
07/07/2015,20.85
07/08/2015,20.55
07/09/2015,21
07/10/2015,20.83
07/11/2015,20.90333333
07/12/2015,20.97666667
07/13/2015,21.05
07/14/2015,21.1
07/15/2015,21.4
07/16/2015,21.05
07/17/2015,21.05
07/18/2015,21.06666667
07/19/2015,21.08333333
07/20/2015,21.1
07/21/2015,21
07/22/2015,20.83
07/23/2015,20.5
07/24/2015,20.45
07/25/2015,20.48333333
07/26/2015,20.51666667
07/27/2015,20.55
07/28/2015,20.77
07/29/2015,20.73
07/30/2015,20.9
07/31/2015,20.4
08/01/2015,20.42666667
08/02/2015,20.45333333
08/03/2015,20.48
08/04/2015,19.95
08/05/2015,20.28
08/06/2015,20.45
08/07/2015,19.95
08/08/2015,19.97333333
08/09/2015,19.99666667
08/10/2015,20.02
08/11/2015,19.95
08/12/2015,19.55
08/13/2015,19.65
08/14/2015,19.65
08/15/2015,19.6
08/16/2015,19.55
08/17/2015,19.5
08/18/2015,19.6
08/19/2015,19.2
08/20/2015,19.15
08/21/2015,19.08
08/22/2015,18.93
08/23/2015,18.78
08/24/2015,18.63
08/25/2015,18.88
08/26/2015,18.9
08/27/2015,19.25
08/28/2015,19.48
08/29/2015,19.48666667
08/30/2015,19.49333333
08/31/2015,19.5
09/01/2015,19.8
09/02/2015,19.85
09/03/2015,20.1
09/04/2015,19.35
09/05/2015,19.32666667
09/06/2015,19.30333333
09/07/2015,19.28
09/08/2015,19.38
09/09/2015,19.4
09/10/2015,19.25
09/11/2015,19.4
09/12/2015,19.3
09/13/2015,19.2
09/14/2015,19.1
09/15/2015,19
09/16/2015,19.25
09/17/2015,19.1
09/18/2015,18.98
09/19/2015,18.98666667
09/20/2015,18.99333333
09/21/2015,19
09/22/2015,19.08
09/23/2015,19.2
09/24/2015,18.6
09/25/2015,18.75
09/26/2015,18.7
09/27/2015,18.65
09/28/2015,18.6
09/29/2015,18.65
09/30/2015,18.4
10/01/2015,18
10/02/2015,17.7
10/03/2015,17.71666667
10/04/2015,17.73333333
10/05/2015,17.75
10/06/2015,18.15
10/07/2015,18.42
10/08/2015,18.67
10/09/2015,18.75
10/10/2015,18.72666667
10/11/2015,18.70333333
10/12/2015,18.68
10/13/2015,18.4
10/14/2015,18.25
10/15/2015,18.5
10/16/2015,18.33
10/17/2015,18.47
10/18/2015,18.61
10/19/2015,18.75
10/20/2015,18.35
10/21/2015,18.25
10/22/2015,18.3
10/23/2015,18.25
10/24/2015,18.13333333
10/25/2015,18.01666667
10/26/2015,17.9
10/27/2015,17.98
10/28/2015,18
10/29/2015,18.15
10/30/2015,17.83
10/31/2015,17.78666667
11/01/2015,17.74333333
11/02/2015,17.7
11/03/2015,17.5
11/04/2015,17.4
11/05/2015,17.08
11/06/2015,17.2
11/07/2015,16.96
11/08/2015,16.72
11/09/2015,16.48
11/10/2015,16.63
11/11/2015,16.35
11/12/2015,16.2
11/13/2015,15.98
11/14/2015,16.25333333
11/15/2015,16.52666667
11/16/2015,16.8
11/17/2015,17.05
11/18/2015,17.3
11/19/2015,17.3
11/20/2015,17.5
11/21/2015,17.53333333
